"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40"
"ABCB8" 7.32260950669678 7.63818582167025 7.54461817173164 7.26638428939768 7.85795566957723 7.44834227425016 7.07478697686936 7.12175526491052 7.74732367135 6.67325032765811 7.53802400178078 7.38731997053224 7.40951180942841 7.0296283006247 7.48036409867361 7.54461817173164 7.39958529332794 7.62788322277257 7.39103214709805 7.24919649377497 7.62520358361471 7.55341315651213 6.68003195184714 7.71848394477932 8.0167965614665 7.26444421698562 6.55392077087917 7.10955815635661 7.38077968351102 7.39885944199634 6.46219492998879 6.56401942409912 7.27818771396259 7.89295065338315 7.15397857114921 7.85919582500921 7.56243871813813 8.00990184033262 7.99525479838914 6.95517215048887
"ABCC4" 7.33891232046935 6.7140949830346 6.52319056686922 6.48115409461225 6.31885234883934 6.67744103096023 6.40946116667142 6.28238835892487 6.7277880753385 6.45773616936397 6.80277899508837 5.5995882428012 6.57377172228543 6.20488068765711 6.91885289263414 6.9399680602423 6.88837945044923 6.79156914864009 6.93892976287233 6.41440420277977 7.28071120226091 7.00800666770966 6.00179223859027 7.53192589551835 7.79402644748883 7.04858192004994 6.33792799022108 6.53882965653179 6.78019441943443 6.54022680464522 6.21013798258805 6.20488068765711 6.33052038822428 6.44667388302336 6.93153390745337 6.74236419476429 6.71818027329387 6.63515887753132 6.18830835283902 6.99005903225598
"ABCC8" 7.1427894671945 7.2667068023134 7.5328462632226 7.5634019012482 7.2352625743208 7.53425321969541 7.47554791153298 7.55074667713342 7.48292110323868 7.83072068158144 7.14306359839841 6.99308817417475 7.27876093400058 7.48292110323868 7.24154055004504 7.08046784177717 7.06588541476623 7.28137553084038 7.41159307656933 7.11075097897041 7.40703380214426 6.87498272206213 7.77934614013221 6.99374666392122 6.89053952143146 7.58155950458896 7.87317586921355 7.72838316993356 7.86579942185422 7.37975322074043 7.45307516716744 7.69067808267141 7.83403998738107 7.49419948916618 6.89129999108812 7.43914989271406 7.39207530105188 7.38694761344484 7.36648807391594 7.26509187619772
"ABCG4" 7.465969997185 7.2527036994493 6.59049739740344 6.85265599314308 7.37688481298646 7.01255076124666 6.02390289825062 6.62365915491233 7.36581350592781 6.40681336654875 7.07173068803457 5.86536412449577 6.33792799022108 4.64841904558016 7.23782974310729 7.02607235879211 6.91482189867332 7.361328567287 6.95928670253971 6.61334963047483 7.54461817173164 6.84527947658404 6.28696906813198 7.51617800722357 7.65086213350818 7.41296714192784 6.62066713155079 6.71818027329387 6.98711055699979 7.16400536028016 6.38717994215862 6.3842591619081 6.60265605025504 7.0027478690029 6.98589462205041 7.1909095110253 7.13884454727103 7.23344224488578 6.20488068765711 7.08313676435849
"ABHD12" 6.8761396394514 7.12264452728984 7.24310073124847 7.09926091582139 7.28954945875417 7.11883516180332 6.81160167891193 6.89367169308121 7.1370771219073 7.04889823850426 7.15372778416202 7.08962544388334 7.258858177315 7.41508638232843 7.01471350209892 7.1370771219073 7.12761953132491 7.12571076043492 7.16949892449381 6.97622290192453 7.07567732862028 7.18772447868851 7.16258303383786 6.98298232649661 6.99688895491125 7.21718446166798 7.72519875900572 7.48656249224966 7.198828015489 7.06970826743921 7.19273218768288 7.2667068023134 7.14969216151502 7.20211010132349 7.38731997053224 7.05458794942616 7.09457514573324 7.16400536028016 7.15397857114921 7.49684886546381
"ABHD5" 7.18186095649759 7.3606961236489 7.39315424710778 7.09427680111936 7.36812779993441 7.33819782971078 6.96118116736672 7.01577034092912 6.97500801661388 6.95971331008275 7.26894432538445 7.27756242507473 7.09029710250935 7.2312563954738 7.15024472731509 7.17294825301281 7.0858431617123 7.4568601083351 7.20307924853638 7.15800337081317 6.69124305289821 7.09167733546339 7.03422221633147 7.11335980499281 6.8224162638132 7.13998952301175 7.72366796755498 7.52215446793187 7.2428099466881 7.33059581482878 7.07845780507108 7.08841653470944 7.40078432613761 7.38731997053224 7.451480421416 7.29226617325961 7.34902021922152 7.38731997053224 7.30323114798398 7.13911638269638
"ABHD6" 6.82581967863533 7.06588541476623 7.31297246463424 7.28230740887224 7.12202353163297 7.09401693789431 6.97535191215249 6.91202795616814 6.99225970032682 7.02998931607236 7.00671179563712 6.96195014661054 7.06447040108183 7.28009006659125 7.02710518916837 6.98037087267085 6.94221426348306 7.02637682010984 6.97535191215249 6.98476486434675 7.06905264333243 7.28327861240316 7.15567714354188 7.03599917712097 6.88618573554013 7.09323893897324 7.60398458397004 7.40473155379442 7.28433160708996 6.87300619337195 7.17918019674208 7.17588377382327 6.86748551157525 7.07199736721683 7.18772447868851 6.90104439738698 6.98929559626521 7.06970826743921 7.03144906626236 7.4625988545854
"ABI1" 7.39924466463102 7.01577034092912 6.58239157701838 6.83893545955632 6.17696780823276 6.46455819611935 6.67744103096023 6.37781013121321 7.05294473159053 6.53418554384438 7.09194969341741 5.11733299503005 6.93153390745337 6.7175471092236 7.11790765381522 7.06037202499692 7.22428059227275 7.15024472731509 7.22054801565133 6.70437051644309 7.11010236741764 7.10721325944378 6.36864135530385 7.52522648169709 7.74487350130715 7.36886202327018 6.46455819611935 6.69789519560667 7.13973437900847 7.18478857128542 6.37781013121321 6.39589352527172 6.68812302492881 6.73770246520072 7.60581296521175 7.22298176273101 6.94032827778832 6.96264095123835 6.16390451043196 7.71848394477932
"ABL1" 7.44140079383802 7.04164416209432 5.8440742398927 6.41683298882912 7.01612129313515 6.98109655650918 6.52639824794405 6.21013798258805 7.21782106737455 6.43784955599968 7.16829492574748 4.95021624465296 6.82909599642886 6.60589480606178 7.28885812989066 7.27500216174305 7.17329786701389 7.35354838491756 7.17329786701389 6.46455819611935 7.43251798940346 7.28744141057429 6.32686950571573 7.55163535804301 7.67622838856703 7.24092664310173 5.91771824150355 6.40389133632912 6.96047731967259 7.05985000000354 6.38126698712536 6.35874641464427 6.8636817220857 7.03110328417821 6.78296662062503 7.09127072504024 6.90844309139598 7.02998931607236 5.67243271053891 7.65771904009753
"ACAA1" 7.28396355100824 7.28567656376713 7.39103214709805 7.33262777807185 7.43071724114892 7.41159307656933 7.20307924853638 7.11303626691267 7.48364444849238 7.27167348859504 7.35798456952141 7.33986224473564 7.49937644464557 7.51576790204919 7.37058716144573 7.3846112770608 7.3401532011079 7.26765151969724 7.61041072504854 7.41508638232843 7.29017759498892 7.42178721064564 7.28009006659125 7.10689446282479 7.10015403648849 7.37908054697788 7.4751589155925 7.68292022406114 7.34146465058917 7.53840762366437 7.48364444849238 7.39471904055497 7.43734940932881 7.34082562471671 7.29960322045968 7.47394433444876 7.41796527695346 7.25304008790505 7.28530411283524 7.57880616604266
